frame    mol0    mol1
  451   7.371   5.451
  452   7.420   5.453
  453   7.414   5.373
  454   7.364   5.353
  455   7.423   5.263
  456   7.432   5.260
  457   7.467   5.341
  458   7.502   5.483
  459   7.503   5.388
  460   7.540   5.478
  461   7.488   5.559
  462   7.481   5.625
  463   7.482   5.603
  464   7.531   5.592
  465   7.472   5.444
  466   7.473   5.439
  467   7.529   5.569
  468   7.510   5.466
  469   7.466   5.462
  470   7.467   5.515
  471   7.480   5.518
  472   7.480   5.559
  473   7.524   5.489
  474   7.494   5.440
  475   7.569   5.450
  476   7.564   5.452
  477   7.566   5.588
  478   7.609   5.588
  479   7.566   5.610
  480   7.584   5.602
  481   7.596   5.753
  482   7.544   5.685
  483   7.514   5.690
  484   7.555   5.766
  485   7.539   5.694
  486   7.529   5.616
  487   7.509   5.593
  488   7.570   5.620
  489   7.490   5.690
  490   7.491   5.610
  491   7.595   5.614
  492   7.491   5.611
  493   7.523   5.669
  494   7.518   5.815
  495   7.477   5.807
  496   7.542   5.816
  497   7.536   5.669
  498   7.604   5.594
  499   7.586   5.661
  500   7.683   5.590
  501   7.502   5.583
  502   7.597   5.521
  503   7.554   5.540
  504   7.551   5.751
  505   7.645   5.670
  506   7.599   5.719
  507   7.599   5.789
  508   7.591   5.656
  509   7.594   5.673
  510   7.660   5.811
  511   7.648   5.819
  512   7.694   5.683
  513   7.694   5.621
  514   7.638   5.702
  515   7.645   5.631
  516   7.645   5.634
  517   7.625   5.634
  518   7.492   5.628
  519   7.626   5.635
  520   7.664   5.638
  521   7.667   5.573
  522   7.648   5.638
  523   7.641   5.711
  524   7.703   5.772
  525   7.597   5.852
  526   7.611   5.897
  527   7.666   5.968
  528   7.659   5.859
  529   7.654   5.721
  530   7.585   5.667
  531   7.637   5.793
  532   7.683   5.733
  533   7.631   5.656
  534   7.639   5.662
  535   7.576   5.434
  536   7.660   5.510
  537   7.640   5.741
  538   7.638   5.657
  539   7.535   5.646
  540   7.588   5.722
  541   7.566   5.656
  542   7.566   5.754
  543   7.558   5.670
  544   7.506   5.793
  545   7.566   5.719
  546   7.560   5.862
  547   7.579   6.096
  548   7.496   5.773
  549   7.505   5.787
  550   7.551   5.709
  551   7.502   5.789
  552   7.502   5.974
  553   7.502   5.963
  554   7.631   5.814
  555   7.589   6.006
  556   7.650   6.086
  557   7.668   6.003
  558   7.617   5.904
  559   7.618   5.901
  560   7.564   5.913
  561   7.597   5.898
  562   7.651   5.821
  563   7.652   5.943
  564   7.708   5.943
  565   7.653   6.010
  566   7.605   5.934
  567   7.719   5.941
  568   7.709   5.940
  569   7.712   6.015
  570   7.710   5.944
  571   7.570   6.023
  572   7.682   6.028
  573   7.675   6.107
  574   7.621   6.108
  575   7.611   6.113
  576   7.605   6.116
  577   7.546   6.183
  578   7.547   6.244
  579   7.595   6.249
  580   7.547   6.174
  581   7.546   6.170
  582   7.543   6.096
  583   7.519   6.043
  584   7.574   5.910
  585   7.567   5.993
  586   7.570   5.953
  587   7.577   5.911
  588   7.584   5.974
  589   7.593   6.044
  590   7.585   5.988
  591   7.588   5.986
  592   7.595   5.989
  593   7.523   6.083
  594   7.524   6.105
  595   7.531   6.139
  596   7.547   6.074
  597   7.606   6.072
  598   7.604   6.150
  599   7.561   6.081
  600   7.684   6.082
  601   7.584   6.095
  602   7.651   6.094
  603   7.630   6.098
  604   7.609   6.290
  605   7.572   6.132
  606   7.629   6.130
  607   7.656   6.153
  608   7.720   6.157
  609   7.624   6.047
  610   7.483   6.041
  611   7.433   6.055
  612   7.422   6.107
  613   7.446   6.027
  614   7.439   6.155
  615   7.492   6.216
  616   7.492   6.259
  617   7.492   6.126
  618   7.501   6.061
  619   7.658   5.918
  620   7.672   5.919
